time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-10T14:43:53.160Z,36.7198,-116.0328,9,1.3,ml,28,81.13,0.039,0.1108,nn,nn00530836,2016-02-10T15:54:36.249Z,"56km N of Pahrump, Nevada",earthquake,0.67,0.7,0.33,13,reviewed,nn,nn
2016-02-10T14:42:53.040Z,37.5719986,-118.854332,5.21,1.13,md,15,171,0.02693,0.02,nc,nc72588910,2016-02-10T17:07:05.944Z,"13km SE of Mammoth Lakes, California",earthquake,0.4,0.54,0.07,13,automatic,nc,nc
2016-02-10T14:22:31.810Z,38.8120003,-122.8258362,2.25,1.2,md,26,68,0.004074,0.03,nc,nc72588905,2016-02-10T16:40:06.901Z,"7km WNW of The Geysers, California",earthquake,0.22,0.39,0.09,8,automatic,nc,nc
2016-02-10T14:13:16.760Z,37.635,-118.929,5.79,0.47,md,22,80,0.02257,0.04,nc,nc72588900,2016-02-10T18:02:04.059Z,"4km ESE of Mammoth Lakes, California",earthquake,0.38,0.42,0.212,17,reviewed,nc,nc
2016-02-10T14:11:46.883Z,39.4126,-118.8933,8.8,1,ml,11,151.17,0.483,0.074,nn,nn00530847,2016-02-10T17:00:09.719Z,"12km SW of Fallon, Nevada",earthquake,2.46,6.9,0.36,6,reviewed,nn,nn
2016-02-10T13:49:25.010Z,38.8033333,-122.8106689,0.75,1.77,md,34,80,0.01287,0.04,nc,nc72588895,2016-02-10T15:46:06.776Z,"5km WNW of The Geysers, California",earthquake,0.18,0.28,0.13,12,automatic,nc,nc
2016-02-10T13:45:37.220Z,38.803833,-122.8116684,0.53,1.34,md,21,126,0.01344,0.03,nc,nc72588890,2016-02-10T15:17:07.705Z,"5km WNW of The Geysers, California",earthquake,0.25,0.38,0.16,6,automatic,nc,nc
2016-02-10T13:34:29.860Z,35.9253349,-120.4888306,9.79,0.98,md,12,137,0.03164,0.06,nc,nc72588885,2016-02-10T14:49:04.840Z,"26km SSW of Coalinga, California",earthquake,0.82,1.42,0.19,2,automatic,nc,nc
2016-02-10T13:16:40.070Z,37.5683333,-118.8538333,5.11,0.64,md,19,192,0.02924,0.06,nc,nc72588875,2016-02-10T17:42:05.007Z,"13km SE of Mammoth Lakes, California",earthquake,0.44,0.53,0.193,15,reviewed,nc,nc
2016-02-10T13:04:04.640Z,37.5703333,-118.8556667,5.05,1.17,md,26,102,0.02884,0.05,nc,nc72588870,2016-02-10T17:52:04.042Z,"13km SE of Mammoth Lakes, California",earthquake,0.26,0.37,0.154,22,reviewed,nc,nc
2016-02-10T12:47:50.520Z,19.0353336,-155.4304962,43.18,2.49,md,53,208,0.1231,0.13,hv,hv61174571,2016-02-10T12:51:22.560Z,"19km SSE of Pahala, Hawaii",earthquake,0.63,0.87,0.1,13,automatic,hv,hv
2016-02-10T12:32:23.580Z,-10.2408,160.8166,46.68,4.8,mb,,110,1.17,0.71,us,us20004z9h,2016-02-10T12:54:18.801Z,"123km W of Kirakira, Solomon Islands",earthquake,6.5,7.8,0.091,37,reviewed,us,us
2016-02-10T12:15:44.902Z,39.1307,-119.7174,9.4,0.6,ml,14,57.49,0.028,0.1118,nn,nn00530846,2016-02-10T16:53:52.387Z,"5km SE of Carson City, Nevada",earthquake,1.06,1.1,0.61,4,reviewed,nn,nn
2016-02-10T12:01:10.750Z,58.2331,-139.3418,10,4,mb,,146,1.294,1.23,us,us20004z9d,2016-02-10T12:15:57.646Z,"148km S of Yakutat, Alaska",earthquake,6,2,0.134,15,reviewed,us,us
2016-02-10T11:35:57.890Z,35.5593333,-83.6133333,3.7,2.11,md,11,96,0.2821,0.14,se,se60023308,2016-02-10T13:57:46.381Z,"19km SSW of Gatlinburg, Tennessee",earthquake,0.65,2.52,0.033,6,reviewed,se,se
2016-02-10T11:28:42.790Z,38.8121681,-122.8291702,2.72,1.36,md,21,93,0.003295,0.03,nc,nc72588860,2016-02-10T12:59:03.422Z,"7km WNW of The Geysers, California",earthquake,0.27,0.57,0.16,6,automatic,nc,nc
2016-02-10T11:10:59.330Z,-36.8163,-73.7192,21.94,4.7,mwr,,97,0.43,0.56,us,us20004z99,2016-02-10T12:06:54.459Z,"54km WSW of Talcahuano, Chile",earthquake,5.1,4.7,0.045,47,reviewed,us,us
2016-02-10T11:04:28.200Z,17.9556,-68.1784,38,2.9,Md,6,331.2,1.01868953,0.31,pr,pr16041004,2016-02-10T16:18:56.583Z,"65km SE of Boca de Yuma, Dominican Republic",earthquake,3.1,9.9,0,6,reviewed,pr,pr
2016-02-10T10:38:48.930Z,34.331,-118.3475,2.79,1.38,ml,51,28,0.0781,0.22,ci,ci37522464,2016-02-10T16:50:32.220Z,"7km NNE of Lake View Terrace, California",earthquake,0.17,0.4,0.152,30,reviewed,ci,ci
2016-02-10T10:29:50.200Z,36.9683342,-121.4580002,5.23,1.17,md,10,76,0.04622,0.02,nc,nc72588850,2016-02-10T12:04:05.309Z,"10km ESE of Gilroy, California",earthquake,0.33,0.83,0.15,7,automatic,nc,nc
2016-02-10T10:23:53.540Z,38.8303337,-122.7578354,0.8,0.54,md,8,147,0.006636,0.02,nc,nc72588840,2016-02-10T11:38:04.260Z,"3km WNW of Cobb, California",earthquake,0.81,0.96,0.04,2,automatic,nc,nc
2016-02-10T10:23:33.380Z,37.5765,-118.8518333,4.98,0.04,md,8,254,0.02254,0.01,nc,nc72588845,2016-02-10T17:31:04.991Z,"13km SE of Mammoth Lakes, California",earthquake,1.08,0.57,0.12,7,reviewed,nc,nc
2016-02-10T10:15:58.780Z,17.6413,-105.8583,10,4.3,mb,,230,4.822,0.67,us,us20004z94,2016-02-10T18:19:08.100Z,"213km SW of San Patricio, Mexico",earthquake,11.9,2,0.051,108,reviewed,us,us
2016-02-10T09:47:43.930Z,35.5566667,-83.5961667,3.34,2.04,md,10,99,0.2844,0.26,se,se60023303,2016-02-10T17:50:13.285Z,"19km SSW of Gatlinburg, Tennessee",earthquake,0.83,3.08,0.032,5,reviewed,se,se
2016-02-10T09:35:53.497Z,40.1071,-119.6583,14.8,0.9,ml,7,255.88,0.207,0.0924,nn,nn00530843,2016-02-10T16:35:15.747Z,"51km N of Spanish Springs, Nevada",earthquake,7.77,3.1,0.28,4,reviewed,nn,nn
2016-02-10T09:35:31.438Z,41.8783,-119.5891,9.2,1.1,ml,6,208.54,0.17,0.1963,nn,nn00530829,2016-02-10T15:44:51.481Z,"71km ESE of Lakeview, Oregon",earthquake,4.77,4,0.21,3,reviewed,nn,nn
2016-02-10T08:46:27.800Z,18.013,-65.4263,17,1.7,Md,3,262.8,0.14552708,0.02,pr,pr16041003,2016-02-10T11:56:27.085Z,"10km SSE of Esperanza, Puerto Rico",earthquake,1.2,0.7,0,3,reviewed,pr,pr
2016-02-10T08:39:33.310Z,35.9615,-117.4631667,4.8,1.82,ml,30,46,0.09854,0.14,ci,ci37522456,2016-02-10T16:42:18.840Z,"22km NNW of Searles Valley, California",earthquake,0.16,0.49,0.198,30,reviewed,ci,ci
2016-02-10T08:35:34.850Z,-16.4058,66.8889,10,4.7,mb,,111,16.166,1.3,us,us20004z8y,2016-02-10T16:38:12.176Z,"Mid-Indian Ridge",earthquake,9.6,1.8,0.112,29,reviewed,us,us
2016-02-10T08:28:02.820Z,32.4658333,-115.5833333,4.07,1.54,ml,21,168,0.2026,0.2,ci,ci37522448,2016-02-10T16:08:47.350Z,"13km S of Progreso, B.C., MX",earthquake,0.51,1.2,0.181,18,reviewed,ci,ci
2016-02-10T08:28:01.230Z,19.2106667,-155.27034,16.07,1.85,md,10,302,0.1277,0.15,hv,hv61174481,2016-02-10T08:30:56.780Z,"22km E of Pahala, Hawaii",earthquake,1.54,3.61,0.09,4,automatic,hv,hv
2016-02-10T08:22:40.110Z,33.4831667,-116.403,11.9,0.6,ml,40,50,0.04438,0.16,ci,ci37522440,2016-02-10T16:03:20.320Z,"22km SSW of La Quinta, California",earthquake,0.22,0.43,0.1,17,reviewed,ci,ci
2016-02-10T08:21:47.110Z,38.8294983,-122.746666,0.87,0.99,md,10,94,0.01066,0.01,nc,nc72588820,2016-02-10T09:04:04.913Z,"2km WNW of Cobb, California",earthquake,0.26,0.74,0.07,4,automatic,nc,nc
2016-02-10T08:18:54.440Z,32.8201667,-115.4733333,12.16,1.96,ml,30,60,0.02681,0.27,ci,ci37522432,2016-02-10T15:46:55.753Z,"9km ENE of El Centro, California",earthquake,0.41,0.62,0.175,45,reviewed,ci,ci
2016-02-10T08:16:00.410Z,32.816,-115.4773333,8.81,1.24,ml,18,120,0.02784,0.23,ci,ci37522424,2016-02-10T15:21:17.461Z,"8km ENE of El Centro, California",earthquake,0.51,0.7,0.145,9,reviewed,ci,ci
2016-02-10T08:14:24.780Z,38.8178329,-122.8215027,2.78,0.43,md,7,161,0.01051,0.02,nc,nc72588815,2016-02-10T08:52:04.887Z,"7km NW of The Geysers, California",earthquake,0.5,1.3,0.13,2,automatic,nc,nc
2016-02-10T08:12:14.470Z,36.857666,-121.5846634,5.27,1.2,md,20,88,0.02737,0.06,nc,nc72588810,2016-02-10T10:49:04.150Z,"4km WNW of San Juan Bautista, California",earthquake,0.29,0.41,0.26,11,automatic,nc,nc
2016-02-10T07:41:45.440Z,38.8279991,-122.8544998,1.77,0.19,md,7,127,0.01597,0.02,nc,nc72588800,2016-02-10T08:18:05.819Z,"10km WNW of The Geysers, California",earthquake,0.55,1.05,0.11,2,automatic,nc,nc
2016-02-10T07:29:40.390Z,36.9563332,-121.4503326,3.28,1.08,md,8,142,0.04612,0.03,nc,nc72588795,2016-02-10T08:06:04.797Z,"11km ESE of Gilroy, California",earthquake,0.41,1.07,0.06,8,automatic,nc,nc
2016-02-10T07:28:36.730Z,38.7955017,-122.8101654,2.99,1.22,md,25,152,0.00906,0.02,nc,nc72588790,2016-02-10T15:31:06.886Z,"5km WNW of The Geysers, California",earthquake,0.3,0.5,0.13,6,automatic,nc,nc
2016-02-10T07:04:48.990Z,36.8568344,-121.5835037,5.06,0.95,md,15,123,0.02839,0.05,nc,nc72588780,2016-02-10T09:15:04.943Z,"4km WNW of San Juan Bautista, California",earthquake,0.33,0.42,0.15,7,automatic,nc,nc
2016-02-10T06:45:07.000Z,18.8728,-66.9718,89,2.8,Md,3,352.8,0.70068592,0.2,pr,pr16041002,2016-02-10T14:47:47.236Z,"41km N of Isabela, Puerto Rico",earthquake,15.4,5.7,0,3,reviewed,pr,pr
2016-02-10T06:44:06.530Z,45.0345,-111.8586667,5.55,1.72,ml,26,72,0.237,0.18,mb,mb80124039,2016-02-10T15:18:04.780Z,"29km SSE of Virginia City, Montana",earthquake,0.33,1.19,0.075,6,reviewed,mb,mb
2016-02-10T05:57:42.900Z,18.489,-66.8855,80,2.2,Md,3,252,0.36381769,0.31,pr,pr16041001,2016-02-10T07:05:15.559Z,"4km W of Camuy, Puerto Rico",earthquake,6,3.9,0,3,reviewed,pr,pr
2016-02-10T05:45:20.240Z,38.7796669,-122.7216644,1.72,0.84,md,11,106,0.007268,0.03,nc,nc72588765,2016-02-10T06:11:04.751Z,"3km E of The Geysers, California",earthquake,0.38,0.66,0.21,4,automatic,nc,nc
2016-02-10T05:42:46.160Z,38.7798347,-122.7201691,1.58,1.15,md,6,115,0.006947,0.01,nc,nc72588760,2016-02-10T08:19:03.821Z,"3km E of The Geysers, California",earthquake,0.44,0.65,0.3,3,automatic,nc,nc
2016-02-10T05:26:39.590Z,33.9138333,-116.7681667,18.39,0.67,ml,43,53,0.08364,0.21,ci,ci37522400,2016-02-10T15:17:27.672Z,"2km ESE of Cabazon, California",earthquake,0.23,0.44,0.152,14,reviewed,ci,ci
2016-02-10T05:07:02.000Z,60.3755,-150.2714,34.9,3.6,ml,100,75.5999939520005,0.1374422,0.57,ak,ak12794196,2016-02-10T08:32:33.223Z,"32km ESE of Sterling, Alaska",earthquake,0.3,0.3,,2,automatic,ak,ak
2016-02-10T05:06:11.110Z,19.4686661,-155.4531708,1.85,1.7,md,43,46,0.06092,0.34,hv,hv61174306,2016-02-10T05:09:39.390Z,"23km W of Volcano, Hawaii",earthquake,0.38,0.56,0.14,18,automatic,hv,hv
2016-02-10T05:02:52.000Z,63.6008,-150.7816,12.1,1.1,ml,9,93.5999925120006,0.07905175,0.8,ak,ak12794195,2016-02-10T08:29:39.171Z,"94km WSW of Healy, Alaska",earthquake,0.4,0.3,,5,automatic,ak,ak
2016-02-10T04:58:23.640Z,36.8556671,-121.5855026,5.26,1.03,md,10,123,0.0292,0.04,nc,nc72588755,2016-02-10T05:14:04.382Z,"4km WNW of San Juan Bautista, California",earthquake,0.42,0.64,0.22,6,automatic,nc,nc
2016-02-10T04:46:07.660Z,38.8224983,-122.8571701,1.76,0.68,md,12,70,0.005045,0.03,nc,nc72588750,2016-02-10T05:02:04.354Z,"10km WNW of The Geysers, California",earthquake,0.35,0.5,0.1,2,automatic,nc,nc
2016-02-10T04:31:05.690Z,33.4805,-116.4471667,13.29,1.37,ml,68,46,0.04639,0.17,ci,ci37522392,2016-02-10T15:09:24.920Z,"23km ESE of Anza, California",earthquake,0.14,0.28,0.144,54,reviewed,ci,ci
2016-02-10T04:15:15.200Z,32.9505,-115.8025,5.44,1.23,ml,30,47,0.005837,0.23,ci,ci37522384,2016-02-10T14:43:58.938Z,"20km WSW of Westmorland, California",earthquake,0.28,0.4,0.191,23,reviewed,ci,ci
2016-02-10T04:10:55.450Z,36.838665,-121.5666656,5.07,1.49,md,18,84,0.05001,0.06,nc,nc72588740,2016-02-10T07:51:05.754Z,"2km WSW of San Juan Bautista, California",earthquake,0.3,0.5,0.29,13,automatic,nc,nc
2016-02-10T03:53:14.000Z,62.2208,-150.1163,19.8,1.6,ml,9,75.5999939520005,0.196731,0.4,ak,ak12794091,2016-02-10T08:28:52.143Z,"11km S of Talkeetna, Alaska",earthquake,0.4,0.2,,2,automatic,ak,ak
2016-02-10T03:51:11.361Z,39.7154,-120.6197,0,0.4,ml,7,161.34,0.167,0.1035,nn,nn00530842,2016-02-10T16:25:48.625Z,"16km SW of Portola, California",earthquake,1.64,,0.02,2,reviewed,nn,nn
2016-02-10T03:49:22.000Z,64.1672,-150.4265,15.6,1.4,ml,20,97.1999922240006,0.2533249,0.47,ak,ak12794072,2016-02-10T08:28:51.426Z,"78km SW of North Nenana, Alaska",earthquake,0.3,0.2,,4,automatic,ak,ak
2016-02-10T03:30:19.000Z,64.116,-148.9292,82.1,1.6,ml,8,165.599986752001,0.4707172,0.78,ak,ak12793948,2016-02-10T08:28:50.807Z,"28km N of Healy, Alaska",earthquake,1.4,2,,4,automatic,ak,ak
2016-02-10T03:15:12.760Z,37.6388333,-118.8766667,-1.28,0.22,md,7,146,0.01695,0.02,nc,nc72588735,2016-02-10T17:16:06.962Z,"8km E of Mammoth Lakes, California",earthquake,0.28,0.63,0.061,5,reviewed,nc,nc
2016-02-10T03:15:06.370Z,-36.8549,-73.8246,27.46,4.3,mb,,200,1.963,0.69,us,us20004z6w,2016-02-10T04:23:34.604Z,"62km NW of Arauco, Chile",earthquake,7.5,9.2,0.307,3,reviewed,us,us
2016-02-10T03:11:48.890Z,37.6583333,-119.4501667,3.84,1.45,md,17,273,0.2952,0.08,nc,nc72588730,2016-02-10T18:42:04.154Z,"13km SE of Yosemite Valley, California",earthquake,0.9,9.52,0.155,12,reviewed,nc,nc
2016-02-10T02:49:49.510Z,34.2261667,-117.5075,10.03,0.77,ml,25,43,0.01968,0.15,ci,ci37522376,2016-02-10T14:35:20.129Z,"4km SSW of Lytle Creek, California",earthquake,0.24,0.42,0.067,5,reviewed,ci,ci
2016-02-10T02:40:05.000Z,65.6078,-145.4129,7.3,1.5,ml,8,233.999981280002,0.1015096,0.78,ak,ak12793926,2016-02-10T08:28:50.198Z,"36km WNW of Circle Hot Springs Station, Alaska",earthquake,1.4,0.3,,5,automatic,ak,ak
2016-02-10T02:36:05.678Z,39.2379,-120.0872,8.4,0.6,ml,15,59.51,0.043,0.1297,nn,nn00530762,2016-02-10T16:07:18.438Z,"3km W of Tahoe Vista, California",earthquake,0.93,1.2,0.31,6,reviewed,nn,nn
2016-02-10T02:26:25.700Z,33.0465,-116.4616667,7.62,0.85,ml,27,81,0.1192,0.19,ci,ci37522368,2016-02-10T14:28:13.041Z,"14km ESE of Julian, California",earthquake,0.3,1.41,0.219,13,reviewed,ci,ci
2016-02-10T02:23:36.730Z,35.9286667,-117.6395,4,2.07,ml,29,52,0.02113,0.13,ci,ci37522360,2016-02-10T14:21:45.460Z,"24km E of Little Lake, California",earthquake,0.14,0.27,0.148,38,reviewed,ci,ci
2016-02-10T02:22:41.210Z,19.3651667,-155.2108333,2.756,0.79,md,27,96,0.009637,0.08,hv,hv61174106,2016-02-10T02:59:44.880Z,"7km SSE of Volcano, Hawaii",earthquake,0.28,0.19,0.069,7,reviewed,hv,hv
2016-02-10T02:22:40.780Z,37.422,-118.5651667,11.1,0.94,md,17,74,0.06108,0.04,nc,nc72588715,2016-02-10T17:56:07.961Z,"11km NW of West Bishop, California",earthquake,0.28,0.83,0.279,16,reviewed,nc,nc
2016-02-10T02:10:50.000Z,63.1541,-149.7217,91.3,3.1,ml,79,35.9999971200002,0.3898688,0.55,ak,ak12793796,2016-02-10T10:13:28.066Z,"46km SW of Cantwell, Alaska",earthquake,0.3,0.6,,5,automatic,ak,ak
2016-02-10T02:09:38.800Z,19.3865,-155.2788333,2.807,2.6,ml,39,44,0.00272,0.08,hv,hv61174096,2016-02-10T10:12:22.775Z,"6km SW of Volcano, Hawaii",earthquake,0.16,0.22,0.156,16,reviewed,hv,hv
2016-02-10T02:02:37.330Z,34.1135,-116.9351667,8.1,0.94,ml,39,32,0.01991,0.11,ci,ci37522352,2016-02-10T02:20:47.100Z,"13km NE of Yucaipa, California",earthquake,0.16,0.33,0.12,28,reviewed,ci,ci
2016-02-10T02:00:33.690Z,19.3681667,-155.2113333,3.076,2.37,ml,39,99,0.006832,0.08,hv,hv61174081,2016-02-10T04:17:26.620Z,"7km SSE of Volcano, Hawaii",earthquake,0.22,0.16,0.112,15,reviewed,hv,hv
2016-02-10T01:51:45.000Z,62.9853,-149.7667,73,1.9,ml,11,75.5999939520005,0.5201245,1.03,ak,ak12793788,2016-02-10T08:29:50.526Z,"61km SW of Cantwell, Alaska",earthquake,0.6,0.9,,6,automatic,ak,ak
2016-02-10T01:47:38.810Z,34.3008333,-118.4905,8,0.91,ml,18,72,0.004886,0.18,ci,ci37522344,2016-02-10T02:12:52.557Z,"3km NNE of Granada Hills, California",earthquake,0.35,0.52,0.151,15,reviewed,ci,ci
2016-02-10T01:35:31.800Z,18.9134,-67.1656,22,2.3,Md,4,352.8,0.4464627,0.3,pr,pr16041000,2016-02-10T04:23:57.288Z,"47km N of San Antonio, Puerto Rico",earthquake,14.2,12.4,0,2,reviewed,pr,pr
2016-02-10T01:28:57.830Z,34.5485,-119.0078333,4.05,0.97,ml,5,124,0.223,0.14,ci,ci37522336,2016-02-10T16:51:10.229Z,"18km NNW of Fillmore, California",earthquake,0.56,31.61,0.164,9,reviewed,ci,ci
2016-02-10T01:19:40.550Z,33.68,-116.6795,17.08,0.53,ml,26,93,0.01205,0.09,ci,ci37522328,2016-02-10T02:26:37.790Z,"8km SSE of Idyllwild, California",earthquake,0.2,0.27,0.05,9,reviewed,ci,ci
2016-02-10T01:15:22.404Z,37.5316,-113.9381,2.8,1.4,ml,7,83.71,0.095,0.1232,nn,nn00530757,2016-02-10T02:29:45.262Z,"19km WSW of Enterprise, Utah",earthquake,1.79,4.9,0.63,5,reviewed,nn,nn
2016-02-10T01:14:07.020Z,-30.6791,-71.6104,34.25,4.3,mb,,92,0.021,0.95,us,us20004z6p,2016-02-10T09:16:34.476Z,"40km WSW of Ovalle, Chile",earthquake,5.3,5.9,0.201,7,reviewed,us,us
2016-02-10T01:12:17.700Z,36.604,3.0941,14.73,4.6,mb,,77,3.417,0.93,us,us20004z5z,2016-02-10T07:58:12.365Z,"0km ESE of Sidi Moussa, Algeria",earthquake,7.9,4.3,0.077,51,reviewed,us,us
2016-02-10T01:04:37.060Z,-30.6463,-71.5884,30.56,4.7,mb,,94,0.048,0.82,us,us20004z5t,2016-02-10T09:07:20.878Z,"37km W of Ovalle, Chile",earthquake,5.3,5.8,0.159,12,reviewed,us,us
2016-02-10T00:59:56.700Z,-30.6126,-71.6057,28.91,4.7,mb,,124,0.066,0.81,us,us20004z5s,2016-02-10T09:02:41.191Z,"38km W of Ovalle, Chile",earthquake,5.6,5.1,0.101,30,reviewed,us,us
2016-02-10T00:56:10.310Z,38.8364983,-122.8006668,1.52,0.43,md,9,116,0.008285,0.01,nc,nc72588700,2016-02-10T00:57:43.720Z,"6km WNW of Cobb, California",earthquake,0.4,0.8,0.13,2,automatic,nc,nc
2016-02-10T00:52:58.190Z,-30.6932,-71.5938,30.86,4.9,mb,,115,0.04,0.78,us,us20004z5p,2016-02-10T08:55:27.200Z,"39km WSW of Ovalle, Chile",earthquake,4.9,3.1,0.132,18,reviewed,us,us
2016-02-10T00:47:09.700Z,-30.6056,-71.6441,31.69,5.1,mb,,161,0.068,0.95,us,us20004z5r,2016-02-10T01:58:55.121Z,"42km W of Ovalle, Chile",earthquake,6.2,4.8,0.171,11,reviewed,us,us
2016-02-10T00:38:57.000Z,65.8134,-150.6314,13.2,1.5,ml,8,165.599986752001,0.3683093,0.43,ak,ak12793643,2016-02-10T08:29:49.178Z,"90km N of Manley Hot Springs, Alaska",earthquake,0.4,0.4,,4,automatic,ak,ak
2016-02-10T00:33:59.440Z,-19.6946,-172.9342,10,5,mb,,100,2.904,1.12,us,us20004z5g,2016-02-10T08:36:53.332Z,"148km E of Pangai, Tonga",earthquake,10.8,1.9,0.102,31,reviewed,us,us
2016-02-10T00:33:05.690Z,-30.634,-71.6198,31.53,6.3,mwb,,101,0.041,0.91,us,us20004z5b,2016-02-10T17:18:37.810Z,"40km W of Ovalle, Chile",earthquake,4.7,4.4,0.053,34,reviewed,us,us
2016-02-10T00:27:54.830Z,46.1576667,-120.4113333,15.383,1.44,ml,10,72,0.1626,0.14,uw,uw61107962,2016-02-10T18:26:37.760Z,"25km SSW of Toppenish, Washington",earthquake,0.43,0.83,0.393,7,reviewed,uw,uw
2016-02-10T00:21:17.190Z,34.9931667,-118.204,2.55,1,ml,17,53,0.113,0.12,ci,ci37522320,2016-02-10T02:06:46.070Z,"7km SSW of Mojave, California",earthquake,0.28,0.67,0.084,6,reviewed,ci,ci
2016-02-10T00:19:13.260Z,38.8138351,-122.8271637,2.49,1.12,md,23,74,0.005204,0.02,nc,nc72588685,2016-02-10T08:21:51.064Z,"7km WNW of The Geysers, California",earthquake,0.23,0.45,0.08,6,automatic,nc,nc
